block,neighbourhood,street,jewish_insitute,public_institution,gas_station,banco,car_thefts,month,education,employment_rate
725.0,Once,Jean Jaures,0.0,0.0,0.0,0.0,0.0,4.0,11.839622497558594,0.9515738487243652
828.0,Once,Sarmiento,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
733.0,Once,Ecuador,0.0,0.0,0.0,0.0,0.0,4.0,12.027979850769043,0.95287024974823
727.0,Once,Jean Jaures,0.0,1.0,1.0,0.0,0.0,4.0,11.879755973815918,0.9390841722488403
726.0,Once,Jean Jaures,0.0,0.0,0.0,0.0,0.0,4.0,11.879755973815918,0.9390841722488403
805.0,Once,Rivadavia,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
840.0,Once,Corrientes,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
842.0,Once,Corrientes,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
841.0,Once,Corrientes,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
764.0,Once,Castelli,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
811.0,Once,Bartolome Mitre,0.0,0.0,0.0,0.0,0.0,4.0,13.040220260620117,0.9549849629402161
816.0,Once,Tte. Gral. Peron,0.0,0.0,0.0,0.0,0.25,4.0,12.77103042602539,0.9528265595436096
760.0,Once,Castelli,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
824.0,Once,Sarmiento,0.0,0.0,0.0,1.0,1.0,4.0,13.1868314743042,0.9550827145576477
809.0,Once,Bartolome Mitre,0.0,0.0,0.0,0.0,0.0,4.0,13.040220260620117,0.9549849629402161
765.0,Once,Paso,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
801.0,Once,Rivadavia,0.0,0.0,0.0,1.0,0.0,4.0,12.893609046936035,0.9548872113227844
831.0,Once,Valentin Gomez,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
826.0,Once,Sarmiento,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
763.0,Once,Castelli,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
762.0,Once,Castelli,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
810.0,Once,Bartolome Mitre,0.0,0.0,0.0,0.0,0.0,4.0,13.040220260620117,0.9549849629402161
825.0,Once,Sarmiento,0.0,0.0,0.0,1.0,1.0,4.0,13.1868314743042,0.9550827145576477
767.0,Once,Paso,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
